State,Month,Year,"No. of Wells
Analysed",0-2,2-5,5-10,10-20,20-40,40
Delhi,August,2018,80,12.5,6.3,25.0,26.3,18.8,11.3
Goa,August,2018,67,44.8,37.3,14.9,3.0,0.0,0.0
Gujarat,August,2018,712,24.6,30.6,26.7,13.5,4.1,0.6
Haryana,August,2018,267,10.9,17.6,22.5,26.2,19.1,3.7
Himachal Pradesh,August,2018,88,37.5,36.4,10.2,10.2,5.7,0.0
Jammu & Kashmir,August,2018,196,45.9,33.2,13.8,5.1,2.0,0.0
Jharkhand,August,2018,253,32.4,42.3,24.1,1.2,0.0,0.0
Karnataka,August,2018,1136,23.3,36.8,27.8,11.2,0.9,0.0
Kerala,August,2018,1413,24.2,33.1,35.7,6.7,0.4,0.1
Madhya Pradesh,August,2018,1309,32.9,30.3,25.2,10.5,1.0,0.0
Maharashtra,August,2018,1636,31.1,33.6,23.4,10.1,1.7,0.2
Meghalaya,August,2018,21,38.1,61.9,0.0,0.0,0.0,0.0
Odisha,August,2018,1241,74.5,21.8,3.5,0.2,0.0,0.0
Pondicherry,August,2018,4,0.0,100.0,0.0,0.0,0.0,0.0
Punjab,August,2018,223,4.9,19.7,18.8,23.8,30.0,2.7
Rajasthan,August,2018,1033,12.8,13.2,18.6,17.9,18.1,19.5
Tamil Nadu,August,2018,508,6.7,22.6,43.1,22.6,3.7,1.2
Telangana,August,2018,555,26.5,21.3,24.0,21.3,6.1,0.9
Tripura,August,2018,25,56.0,36.0,8.0,0.0,0.0,0.0
Uttar Pradesh,August,2018,712,30.1,25.3,25.1,16.9,2.5,0.1
Uttaranchal,August,2018,47,23.4,23.4,21.3,17.0,8.5,6.4
West Bengal,August,2018,660,37.9,33.9,15.9,9.5,2.7,0.0
Andaman and Nicobar Islands,November,2018,102,89.22,9.80,1.0,0.00,0.00,0.00
Andhra Pradesh,November,2018,730,30.00,35.07,23.6,10.55,0.68,0.14
Arunachal Pradesh,November,2018,10,10.00,50.00,40.00,0.00,0.00,0.00
Assam,November,2018,177,36.16,51.98,9.60,2.26,0.00,0.00
Bihar,November,2018,654,11.77,57.34,27.98,2.91,0.00,0.00
Chandigarh,November,2018,8,0.00,37.50,0.00,25.00,37.50,0.00
Chhattisgarh,November,2018,599,3.17,60.93,31.89,3.34,0.67,0.00
Dadar-Nagar-Haveli,November,2018,17,11.76,52.94,29.41,5.88,0.00,0.00
Daman & Diu,November,2018,11,45.45,36.36,18.18,0.00,0.00,0.00
Delhi,November,2018,83,2.41,20.48,24.10,26.51,16.87,9.64
Goa,November,2018,30,16.67,46.67,26.67,10.00,0.00,0.00
Gujarat,November,2018,755,15.23,23.44,32.05,20.79,7.68,0.79
Haryana,November,2018,315,11.75,16.51,22.22,28.25,16.19,5.08
Himachal Pradesh,November,2018,103,29.13,34.95,18.45,13.59,3.88,0.00
Jammu & Kashmir,November,2018,187,20.32,55.08,18.72,4.28,1.60,0.00
Jharkhand,November,2018,281,7.47,51.60,38.08,2.85,0.00,0.00
Karnataka,November,2018,1380,15.94,34.93,36.16,11.96,1.01,0.00
Kerala,November,2018,1462,17.99,30.44,41.18,9.64,0.75,0.00
Madhya Pradesh,November,2018,1331,5.56,29.68,42.90,19.23,2.55,0.08
Maharashtra,November,2018,1659,10.85,34.42,35.32,17.00,2.35,0.06
Meghalaya,November,2018,23,43.48,56.52,0.00,0.00,0.00,0.00
Nagaland,November,2018,3,33.33,66.67,0.00,0.00,0.00,0.00
Odisha,November,2018,1290,32.56,54.11,12.79,0.54,0.00,0.00
Pondicherry,November,2018,4,75.00,25.00,0.00,0.00,0.00,0.00
Punjab,November,2018,261,6.13,18.01,19.54,24.52,30.65,1.15
Rajasthan,November,2018,1034,4.16,14.51,22.05,20.99,18.18,20.12
Tamil Nadu,November,2018,562,17.08,28.11,33.63,15.48,3.91,1.78
Telangana,November,2018,567,10.58,30.86,29.98,19.93,7.23,1.41
Tripura,November,2018,21,38.10,57.14,4.76,0.00,0.00,0.00
Uttar Pradesh,November,2018,737,12.89,39.21,27.54,16.96,3.26,0.14
Uttarakhand,November,2018,47,14.89,36.17,25.53,10.64,8.51,4.26
West Bengal,November,2018,722,10.53,50.28,23.13,13.43,2.63,0.00
Andhra Pradesh,January,2019,724,22.65,39.36,26.1,10.91,0.83,0.14
Arunachal Pradesh,January,2019,11,9.09,36.36,45.45,9.09,0.00,0.00
Assam,January,2019,165,24.24,64.24,9.09,2.42,0.00,0.00
Bihar,January,2019,635,3.94,50.08,43.31,2.68,0.00,0.00
Chandigarh,January,2019,13,0.00,23.08,15.38,23.08,23.08,15.38
Chhattisgarh,January,2019,548,2.55,39.42,50.73,6.75,0.55,0.00
Dadar-Nagar-Haveli,January,2019,15,6.67,33.33,53.33,6.67,0.00,0.00
Daman & Diu,January,2019,13,0.00,38.46,61.54,0.00,0.00,0.00
Delhi,January,2019,83,9.64,14.46,22.89,26.51,16.87,9.64
Goa,January,2019,71,7.04,47.89,36.62,8.45,0.00,0.00
Gujarat,January,2019,731,5.34,22.30,37.35,24.76,9.58,0.68
Haryana,January,2019,302,9.27,18.21,21.19,25.83,21.85,3.64
Himachal Pradesh,January,2019,99,22.22,34.34,22.22,17.17,4.04,0.00
Jammu & Kashmir,January,2019,199,23.62,42.21,25.63,5.03,3.52,0.00
Jharkhand,January,2019,220,5.00,30.45,61.36,3.18,0.00,0.00
Karnataka,January,2019,1174,8.26,33.05,45.49,12.95,0.26,0.00
Kerala,January,2019,1467,11.11,29.72,44.31,13.97,0.82,0.07
Madhya Pradesh,January,2019,1301,3.00,25.29,43.50,25.29,2.77,0.15
Maharashtra,January,2019,1691,6.68,25.72,42.99,21.64,2.72,0.24
Meghalaya,January,2019,23,17.39,78.26,4.35,0.00,0.00,0.00
Nagaland,January,2019,3,33.33,66.67,0.00,0.00,0.00,0.00
Odisha,January,2019,1282,17.78,59.59,21.76,0.86,0.00,0.00
Pondicherry,January,2019,6,50.00,33.33,16.67,0.00,0.00,0.00
Punjab,January,2019,506,2.37,14.62,19.37,26.28,35.97,1.38
Rajasthan,January,2019,1028,4.77,12.16,20.62,21.79,20.14,20.53
Tamil Nadu,January,2019,715,13.71,27.13,35.94,19.16,2.94,1.12
Telangana,January,2019,575,6.09,26.96,32.17,25.74,8.00,1.04
Tripura,January,2019,20,30.00,50.00,20.00,0.00,0.00,0.00
Uttar Pradesh,January,2019,721,6.66,37.31,34.95,17.61,3.19,0.28
Uttarakhand,January,2019,45,15.56,33.33,26.67,11.11,8.89,4.44
West Bengal,January,2019,677,8.27,40.62,32.05,14.03,5.02,0.00
