State,Month,Year,"No. of Wells
Analysed",0-2,2-5,5-10,10-20,20-40,40
Tamil Nadu,August,2010,647,7.73,27.20,38.79,21.17,4.02,1.08
Tripura,August,2010,28,39.29,57.14,3.57,0.00,0.00,0.00
Uttar Pradesh,August,2010,874,25.17,25.17,29.75,16.93,2.97,0.00
Uttaranchal,August,2010,54,35.19,33.33,18.52,7.41,3.70,1.85
West Bengal,August,2010,586,22.18,32.59,31.06,13.65,0.51,0.00
Andhra Pradesh,November ,2010,647,53.48,28.28,14.22,3.71,0.31,0.00
Arunachal Pradesh,November ,2010,11,18.18,63.64,18.18,0.00,0.00,0.00
Assam,November,2010,216,48.61,41.67,8.33,1.39,0.00,0.00
Bihar,November,2010,269,8.92,56.88,31.97,2.23,0.00,0.00
Chandigarh,November,2010,23,4.35,13.04,26.09,34.78,8.70,13.04
Chhattisgarh,November,2010,361,28.25,44.88,22.71,4.16,0.00,0.00
Dadar-Nagar-Haveli,November,2010,7,14.29,71.43,14.29,0.00,0.00,0.00
Delhi,November,2010,166,18.07,20.48,19.28,22.89,11.45,7.83
Gujarat,November,2010,782,20.84,31.97,27.49,12.79,5.24,1.66
Haryana,November,2010,271,18.08,20.30,20.30,28.78,11.44,1.11
Himachal Pradesh,November,2010,80,18.75,38.75,23.75,13.75,5.00,0.00
Jammu & Kashmir,November,2010,130,33.85,38.46,14.62,7.69,5.38,0.00
Jharkhand,November,2010,167,4.19,28.14,56.89,10.78,0.00,0.00
Karnataka,November,2010,861,33.91,34.03,21.25,10.69,0.12,0.00
Kerala,November,2010,680,26.47,32.65,32.79,6.91,1.18,0.00
Madhya Pradesh,November,2010,857,8.98,31.16,37.92,18.90,2.80,0.23
Maharashtra,November,2010,1024,25.29,42.97,23.24,7.13,1.17,0.20
Meghalaya,November,2010,29,44.83,51.72,3.45,0.00,0.00,0.00
Odisha,November,2010,817,41.49,43.21,14.69,0.61,0.00,0.00
Pondicherry,November,2010,6,16.67,83.33,0.00,0.00,0.00,0.00
Punjab,November,2010,201,6.97,19.90,19.40,38.31,15.42,0.00
Rajasthan,November,2010,848,4.48,14.98,21.11,22.64,19.58,17.22
Tamil Nadu,November,2010,677,20.68,31.46,28.80,15.07,3.10,0.89
Tripura,November,2010,28,25.00,71.43,3.57,0.00,0.00,0.00
Uttar Pradesh,November,2010,848,18.87,37.38,25.47,15.45,2.83,0.00
Uttaranchal,November,2010,51,21.57,35.29,23.53,15.69,3.92,0.00
West Bengal,November,2010,623,9.47,49.92,29.53,10.59,0.48,0.00
Andhra Pradesh,January,2011,642,38.32,38.01,19.16,4.36,0.16,0.00
Arunachal Pradesh,January,2011,12,8.33,66.67,25.00,0.00,0.00,0.00
Assam,January,2011,233,24.46,60.94,12.88,1.72,0.00,0.00
Bihar,January,2011,281,4.63,50.53,42.70,2.14,0.00,0.00
Chandigarh,January,2011,23,4.35,8.70,30.43,26.09,17.39,13.04
Chhattisgarh,January,2011,379,10.29,44.06,37.73,7.65,0.26,0.00
Dadar-Nagar-Haveli,January,2011,8,25.00,62.50,12.50,0.00,0.00,0.00
Delhi,January,2011,143,16.78,21.68,21.68,22.38,10.49,6.99
Goa,January,2011,44,13.64,45.45,34.09,6.82,0.00,0.00
Gujarat,January,2011,752,11.04,32.45,32.71,15.96,6.38,1.46
Haryana,January,2011,247,17.00,21.05,24.70,27.53,8.91,0.81
Himachal Pradesh,January,2011,75,20.00,32.00,26.67,18.67,2.67,0.00
Jammu & Kashmir,January,2011,131,25.95,40.46,18.32,8.40,6.87,0.00
Jharkhand,January,2011,167,2.40,25.15,58.08,14.37,0.00,0.00
Karnataka,January,2011,865,21.04,37.23,28.90,11.79,1.04,0.00
Kerala,January,2011,680,26.47,32.65,32.79,6.91,1.18,0.00
Madhya Pradesh,January,2011,858,2.33,23.89,44.87,25.06,3.61,0.23
Maharashtra,January,2011,955,12.98,43.87,34.87,7.43,0.73,0.10
Meghalaya,January,2011,8,37.50,50.00,12.50,0.00,0.00,0.00
Odisha,January,2011,809,19.78,51.67,27.44,1.11,0.00,0.00
Pondicherry,January,2011,2,0.00,100.00,0.00,0.00,0.00,0.00
Punjab,January,2011,218,5.96,16.97,23.39,37.61,16.06,0.00
Rajasthan,January,2011,849,4.48,11.78,20.38,25.68,20.38,17.31
Tamil Nadu,January,2011,568,32.57,38.20,20.95,6.69,1.23,0.35
Tripura,January,2011,29,24.14,65.52,10.34,0.00,0.00,0.00
Uttar Pradesh,January,2011,822,11.92,38.20,31.27,15.94,2.68,0.00
Uttaranchal,January,2011,50,4.00,48.00,30.00,12.00,6.00,0.00
West Bengal,January,2011,611,4.26,45.01,35.19,14.57,0.98,0.00
Andhra Pradesh,May,2011,679,12.37,36.82,36.52,13.55,0.59,0.15
Arunachal Pradesh,May,2011,12,16.67,41.67,25.00,16.67,0.00,0.00
Assam,May,2011,209,19.14,58.37,20.10,2.39,0.00,0.00
Bihar,May,2011,269,2.97,33.46,55.76,7.81,0.00,0.00
Chandigarh,May,2011,18,0.00,16.67,33.33,27.78,22.22,0.00
Chhattisgarh,May,2011,360,3.33,21.67,55.56,19.17,0.28,0.00
Dadar-Nagar-Haveli,May,2011,6,0.00,50.00,50.00,0.00,0.00,0.00
Delhi,May,2011,142,5.63,24.65,26.76,23.24,12.68,7.04
Goa,May,2011,44,6.82,45.45,31.82,13.64,2.27,0.00
Gujarat,May,2011,665,4.06,21.20,35.94,29.92,7.97,0.90
Haryana,May,2011,315,6.98,25.40,25.08,28.57,13.02,0.95
Himachal Pradesh,May,2011,77,10.39,31.17,29.87,24.68,3.90,0.00
Jammu & Kashmir,May,2011,134,12.69,50.75,20.15,8.96,7.46,0.00
Jharkhand,May,2011,180,1.11,8.89,58.89,31.11,0.00,0.00
Karnataka,May,2011,901,8.77,28.75,41.51,20.64,0.33,0.00
Kerala,May,2011,700,9.71,28.57,44.29,15.57,1.71,0.14
Madhya Pradesh,May,2011,857,0.12,8.05,42.47,44.92,4.20,0.23
Maharashtra,May,2011,812,4.93,23.65,52.09,17.36,1.60,0.37
Meghalaya,May,2011,27,14.81,77.78,7.41,0.00,0.00,0.00
Odisha,May,2011,873,9.74,41.12,44.67,4.47,0.00,0.00
Pondicherry,May,2011,7,0.00,100.00,0.00,0.00,0.00,0.00
Punjab,May,2011,193,4.15,16.58,27.46,36.27,15.54,0.00
Rajasthan,May,2011,824,1.70,6.92,21.72,29.85,21.12,18.69
Tamil Nadu,May,2011,654,9.79,39.45,34.86,12.08,2.75,1.07
Tripura,May,2011,27,11.11,59.26,29.63,0.00,0.00,0.00
Uttar Pradesh,May,2011,723,1.24,36.10,40.80,18.81,2.90,0.14
Uttaranchal,May,2011,46,0.00,41.30,32.61,26.09,0.00,0.00
West Bengal,May,2011,520,2.31,29.62,42.31,23.46,2.31,0.00
Andhra Pradesh,August,2011,706,29.18,34.42,27.34,8.64,0.28,0.14
Arunachal Pradesh,August,2011,6,50.00,50.00,0.00,0.00,0.00,0.00
Assam,August,2011,206,59.71,32.04,6.31,1.94,0.00,0.00
Bihar,August,2011,276,36.23,50.36,13.04,0.36,0.00,0.00
Chandigarh,August,2011,23,4.35,13.04,21.74,30.43,17.39,13.04
Chhattisgarh,August,2011,292,56.16,30.82,9.93,2.40,0.68,0.00
Dadar-Nagar-Haveli,August,2011,6,33.33,33.33,33.33,0.00,0.00,0.00
Delhi,August,2011,134,19.40,17.16,20.90,24.63,10.45,7.46
Goa,August,2011,41,56.10,29.27,9.76,4.88,0.00,0.00
Gujarat,August,2011,725,34.90,30.34,18.48,10.62,5.10,0.55
Haryana,August,2011,299,14.72,19.06,23.08,24.75,17.06,1.34
Himachal Pradesh,August,2011,73,30.14,41.10,15.07,12.33,1.37,0.00
Jammu & Kashmir,August,2011,128,51.56,25.78,10.94,4.69,7.03,0.00
Jharkhand,August,2011,179,35.75,38.55,25.14,0.56,0.00,0.00
Karnataka,August,2011,774,22.74,34.24,29.20,13.57,0.26,0.00
Kerala,August,2011,646,30.65,32.20,29.88,6.35,0.93,0.00
Madhya Pradesh,August,2011,951,40.48,31.34,17.77,8.10,2.10,0.21
Maharashtra,August,2011,972,33.85,33.64,24.28,7.41,0.72,0.10
Manipur,August,2011,1,100.00,0.00,0.00,0.00,0.00,0.00
Meghalaya,August,2011,27,48.15,48.15,3.70,0.00,0.00,0.00
Odisha,August,2011,846,52.60,36.88,9.93,0.59,0.00,0.00
Pondicherry,August,2011,9,0.00,44.44,0.00,44.44,11.11,0.00
Punjab,August,2011,166,10.84,18.07,22.29,28.92,19.88,0.00
Rajasthan,August,2011,863,14.02,12.40,17.50,19.70,18.42,17.96
Tamil Nadu,August,2011,969,9.18,31.48,33.54,18.16,7.64,0.00
Tripura,August,2011,29,55.17,41.38,3.45,0.00,0.00,0.00
Uttar Pradesh,August,2011,761,35.74,28.52,19.97,12.88,2.89,0.00
Uttaranchal,August,2011,50,40.00,34.00,14.00,12.00,0.00,0.00
West Bengal,August,2011,776,40.85,35.70,13.27,9.66,0.52,0.00
Andhra Pradesh,November,2011,697,26.11,36.15,27.83,9.76,0.00,0.14
Arunachal Pradesh,November,2011,11,18.18,63.64,18.18,0.00,0.00,0.00
Assam,November,2011,236,36.02,54.66,8.05,1.27,0.00,0.00
Bihar,November,2011,266,24.81,59.77,15.04,0.38,0.00,0.00
Chandigarh,November,2011,25,0.00,16.00,24.00,28.00,20.00,12.00
Chhattisgarh,November,2011,308,16.88,60.39,20.45,2.27,0.00,0.00
Dadar-Nagar-Haveli,November,2011,6,0.00,83.33,16.67,0.00,0.00,0.00
Delhi,November,2011,131,10.69,24.43,21.37,25.19,9.92,8.40
Goa,November,2011,40,15.00,42.50,37.50,5.00,0.00,0.00
Gujarat,November,2011,741,16.19,36.84,27.53,12.55,6.21,0.67
